user_id,product_id,view_duration_seconds,pages_visited,clicked_add_to_cart,purchased
969,19,45,12,0,0
655,19,9,4,0,0
210,43,239,5,1,1
955,8,208,13,1,0
369,4,74,10,1,0
278,8,177,6,0,0
990,39,257,13,0,0
621,25,160,1,0,0
723,10,291,5,0,0
826,1,260,6,1,1
773,48,286,3,1,1
684,43,21,12,0,0
285,34,46,4,1,0
115,7,221,6,1,0
955,9,81,8,1,1
644,47,76,7,1,0
538,12,58,13,1,0
675,33,208,8,1,0
390,21,29,1,0,0
544,37,286,10,1,0
794,21,83,10,0,0
257,40,234,11,1,0
554,47,149,1,0,0
631,47,234,5,0,0
19,13,37,1,0,1
297,35,234,10,0,0
228,1,96,15,1,1
244,47,245,3,0,0
84,42,74,12,1,1
1,7,205,2,1,0
633,3,146,2,1,0
535,21,27,12,0,0
323,45,104,14,0,0
116,37,196,3,1,0
615,42,59,4,1,0
37,43,110,4,0,0
466,18,89,12,0,0
343,41,111,2,0,0
570,8,254,12,1,1
907,37,175,2,1,0
908,50,22,9,0,0
192,8,214,15,1,1
420,29,87,5,0,0
276,12,130,15,0,0
803,1,176,8,1,1
986,32,36,11,0,0
475,14,79,1,0,0
640,45,272,3,0,0
867,22,122,9,0,0
890,6,77,5,1,0
870,26,284,14,1,0
370,6,252,2,0,0
120,8,110,2,0,0
625,24,240,15,1,1
166,15,61,7,0,0
166,5,296,8,1,1
551,3,104,12,0,0
720,4,222,15,1,1
734,48,25,8,0,0
10,3,137,10,0,0
314,45,135,11,1,0
12,38,269,12,1,0
110,18,296,4,1,0
659,46,233,7,0,0
643,22,104,3,0,0
329,46,229,13,1,0
104,6,78,10,0,0
57,50,181,7,0,0
343,49,260,14,1,1
512,33,183,13,0,0
830,14,120,4,0,0
915,30,214,2,1,0
940,35,173,14,1,0
288,38,231,7,1,1
400,2,251,2,0,0
647,46,165,6,1,0
840,31,244,14,1,1
216,19,275,13,1,1
691,9,223,6,0,0
136,39,65,7,0,0
991,36,194,1,0,0
558,8,246,6,1,1
436,21,192,1,1,0
764,24,133,8,0,0
829,50,129,5,0,0
701,32,32,14,1,0
833,23,110,15,1,1
545,34,165,13,1,1
512,32,54,15,1,1
239,4,32,6,0,0
176,7,272,9,1,1
340,10,197,10,1,1
718,14,171,8,0,0
399,10,139,14,1,1
831,1,126,13,1,1
621,49,287,6,1,0
746,33,121,9,1,0
322,29,102,2,0,0
594,22,98,15,1,1
77,32,61,3,0,0
553,9,217,12,0,0
136,32,31,6,0,0
3,18,84,8,0,0
801,27,57,9,0,1
931,40,225,3,0,0
979,32,229,2,1,0
877,38,48,14,0,0
407,44,5,9,1,0
41,14,63,13,1,1
393,44,199,14,1,1
245,13,207,14,1,1
200,11,39,12,1,0
614,36,261,3,0,0
239,38,287,14,1,1
728,47,57,5,0,0
550,18,8,9,0,0
963,39,44,15,0,1
404,20,180,7,0,1
684,9,33,3,0,0
299,50,222,12,1,1
981,44,239,4,0,0
996,33,166,11,1,0
233,6,187,11,0,0
430,20,8,4,1,0
650,33,233,8,1,0
740,20,186,5,0,0
513,46,44,8,0,0
894,28,296,3,0,0
25,20,45,11,0,0
922,29,174,10,1,0
580,17,50,15,0,0
780,4,244,9,1,1
162,11,186,7,1,0
800,38,31,4,1,1
157,30,246,2,0,0
657,38,237,7,1,0
1000,26,105,6,0,1
18,14,198,12,1,1
504,33,98,3,1,1
305,32,181,13,1,0
30,11,198,2,1,0
228,31,106,2,0,0
181,43,208,6,1,1
686,4,268,8,1,0
405,36,299,14,1,1
831,7,254,14,1,1
988,26,8,9,1,0
300,48,282,3,1,1
560,35,278,10,1,1
203,4,94,6,0,0
488,42,27,9,0,0
161,17,205,8,1,0
332,46,185,4,1,0
431,15,105,11,1,1
961,2,170,14,0,0
289,14,261,3,1,0
758,9,40,15,1,0
326,31,179,2,0,0
728,15,74,5,1,0
