user_id,product_id,interaction_score,user_age,total_spend
1,35,1,27,3375
1,37,5,27,3375
1,18,5,27,3375
1,12,5,27,3375
1,2,2,27,3375
1,50,2,27,3375
1,13,4,27,3375
1,47,1,27,3375
1,28,1,27,3375
1,25,2,27,3375
1,1,3,27,3375
2,7,2,61,609
2,16,4,61,609
2,33,2,61,609
2,31,3,61,609
2,6,5,61,609
2,23,4,61,609
2,30,1,61,609
2,47,1,61,609
2,21,5,61,609
3,34,4,37,3462
3,19,1,37,3462
3,8,2,37,3462
3,30,4,37,3462
3,17,5,37,3462
3,4,3,37,3462
3,2,1,37,3462
3,20,3,37,3462
3,29,3,37,3462
3,11,1,37,3462
3,35,5,37,3462
3,24,3,37,3462
3,36,1,37,3462
3,49,5,37,3462
3,16,2,37,3462
3,1,1,37,3462
4,14,5,64,4834
4,22,5,64,4834
4,41,5,64,4834
4,18,2,64,4834
4,20,2,64,4834
4,5,1,64,4834
5,41,3,27,4027
5,24,5,27,4027
5,33,3,27,4027
5,46,4,27,4027
5,17,1,27,4027
5,12,2,27,4027
5,28,3,27,4027
5,20,5,27,4027
6,45,1,46,293
6,10,1,46,293
6,3,2,46,293
6,37,3,46,293
6,6,5,46,293
7,8,3,63,2909
7,13,5,63,2909
7,12,3,63,2909
7,18,4,63,2909
7,19,1,63,2909
7,42,4,63,2909
7,3,1,63,2909
7,11,5,63,2909
7,45,2,63,2909
7,9,1,63,2909
7,49,1,63,2909
7,1,3,63,2909
7,21,3,63,2909
7,23,2,63,2909
7,34,1,63,2909
7,44,5,63,2909
7,17,1,63,2909
7,33,5,63,2909
7,6,3,63,2909
7,28,2,63,2909
8,28,1,26,2895
8,5,1,26,2895
8,33,2,26,2895
8,10,4,26,2895
8,38,2,26,2895
8,21,1,26,2895
8,18,5,26,2895
8,31,4,26,2895
9,2,2,26,4788
9,29,2,26,4788
9,39,3,26,4788
9,18,1,26,4788
9,4,3,26,4788
9,47,2,26,4788
9,17,1,26,4788
9,30,3,26,4788
9,34,4,26,4788
9,42,3,26,4788
9,28,3,26,4788
9,31,4,26,4788
9,10,1,26,4788
9,8,5,26,4788
9,9,5,26,4788
9,45,1,26,4788
10,33,2,22,3835
10,48,5,22,3835
10,6,2,22,3835
10,8,4,22,3835
10,10,3,22,3835
10,40,1,22,3835
10,14,2,22,3835
10,42,3,22,3835
10,38,5,22,3835
10,13,4,22,3835
10,34,4,22,3835
10,39,2,22,3835
10,35,4,22,3835
10,2,1,22,3835
10,49,5,22,3835
10,29,3,22,3835
10,7,3,22,3835
11,19,3,53,429
11,38,1,53,429
11,6,4,53,429
11,49,5,53,429
11,46,1,53,429
11,12,5,53,429
11,10,2,53,429
11,2,4,53,429
11,44,4,53,429
11,11,1,53,429
11,3,2,53,429
11,47,3,53,429
11,7,5,53,429
11,4,3,53,429
12,30,2,40,748
12,7,4,40,748
12,24,2,40,748
12,39,1,40,748
12,23,4,40,748
12,9,4,40,748
12,44,1,40,748
12,17,5,40,748
12,6,3,40,748
12,33,2,40,748
12,49,2,40,748
12,42,3,40,748
12,12,3,40,748
12,37,5,40,748
12,45,5,40,748
12,3,3,40,748
12,22,1,40,748
12,28,5,40,748
13,25,2,43,1634
13,19,2,43,1634
13,3,4,43,1634
13,13,4,43,1634
13,40,4,43,1634
13,9,1,43,1634
13,21,3,43,1634
13,45,5,43,1634
13,24,1,43,1634
13,12,2,43,1634
13,50,3,43,1634
14,30,2,28,3494
14,20,3,28,3494
14,49,1,28,3494
14,14,5,28,3494
14,26,3,28,3494
14,42,3,28,3494
14,40,1,28,3494
14,25,5,28,3494
14,18,5,28,3494
14,50,1,28,3494
14,10,5,28,3494
14,28,2,28,3494
14,37,5,28,3494
14,17,3,28,3494
14,11,2,28,3494
14,21,5,28,3494
15,32,2,40,4527
15,46,5,40,4527
15,22,2,40,4527
15,30,4,40,4527
15,12,2,40,4527
15,49,3,40,4527
15,20,4,40,4527
15,3,5,40,4527
15,40,3,40,4527
16,36,2,42,1614
16,10,1,42,1614
16,13,3,42,1614
16,24,3,42,1614
16,8,3,42,1614
16,22,3,42,1614
16,42,5,42,1614
16,29,4,42,1614
16,43,5,42,1614
16,21,5,42,1614
16,17,1,42,1614
16,48,2,42,1614
16,38,1,42,1614
16,20,4,42,1614
16,31,5,42,1614
16,5,1,42,1614
16,3,2,42,1614
16,9,4,42,1614
17,24,1,65,620
17,30,4,65,620
17,41,1,65,620
17,48,3,65,620
17,22,5,65,620
17,16,2,65,620
17,31,5,65,620
17,10,5,65,620
17,11,5,65,620
17,19,1,65,620
17,50,5,65,620
17,5,4,65,620
17,42,5,65,620
17,40,5,65,620
17,47,2,65,620
17,27,1,65,620
17,18,5,65,620
18,10,3,51,3589
18,34,4,51,3589
18,17,1,51,3589
18,20,3,51,3589
18,35,5,51,3589
18,31,5,51,3589
18,18,1,51,3589
18,45,1,51,3589
18,29,3,51,3589
18,49,2,51,3589
18,8,5,51,3589
18,13,4,51,3589
18,2,2,51,3589
18,22,2,51,3589
18,44,4,51,3589
18,11,4,51,3589
19,12,1,24,3441
19,4,5,24,3441
19,2,1,24,3441
19,1,4,24,3441
19,20,3,24,3441
19,6,4,24,3441
19,17,2,24,3441
19,42,3,24,3441
19,43,5,24,3441
19,21,3,24,3441
19,40,3,24,3441
20,3,4,44,1722
20,41,3,44,1722
20,45,5,44,1722
20,14,4,44,1722
20,7,4,44,1722
20,24,2,44,1722
20,46,3,44,1722
20,25,3,44,1722
21,20,2,37,3979
21,6,3,37,3979
21,29,5,37,3979
21,33,5,37,3979
21,49,3,37,3979
21,23,2,37,3979
21,16,5,37,3979
21,21,2,37,3979
21,10,4,37,3979
21,15,3,37,3979
21,41,4,37,3979
21,9,3,37,3979
21,12,1,37,3979
21,11,5,37,3979
21,37,3,37,3979
21,34,4,37,3979
22,19,4,33,3080
22,25,1,33,3080
22,28,1,33,3080
22,17,1,33,3080
22,18,2,33,3080
22,33,4,33,3080
22,26,2,33,3080
22,24,3,33,3080
23,43,4,48,1014
23,17,5,48,1014
23,37,3,48,1014
23,21,2,48,1014
23,19,3,48,1014
23,4,5,48,1014
23,14,4,48,1014
23,31,4,48,1014
23,48,3,48,1014
23,28,1,48,1014
23,46,3,48,1014
24,19,2,19,4881
24,15,2,19,4881
24,22,4,19,4881
24,6,3,19,4881
24,3,2,19,4881
24,36,5,19,4881
24,23,5,19,4881
24,28,4,19,4881
24,48,1,19,4881
24,31,3,19,4881
24,44,5,19,4881
24,45,5,19,4881
25,5,4,44,2283
25,26,4,44,2283
25,42,5,44,2283
25,40,3,44,2283
25,39,4,44,2283
25,9,4,44,2283
25,10,3,44,2283
25,19,2,44,2283
25,35,4,44,2283
25,46,3,44,2283
25,3,1,44,2283
25,17,4,44,2283
25,15,1,44,2283
25,50,5,44,2283
26,42,5,48,579
26,43,2,48,579
26,12,5,48,579
26,2,4,48,579
26,21,1,48,579
26,36,1,48,579
26,30,4,48,579
27,1,2,25,2207
27,2,3,25,2207
27,8,4,25,2207
27,43,1,25,2207
27,17,5,25,2207
27,18,1,25,2207
27,7,4,25,2207
27,35,5,25,2207
27,24,1,25,2207
27,28,3,25,2207
27,9,3,25,2207
27,5,5,25,2207
27,20,4,25,2207
28,43,4,64,3747
28,35,5,64,3747
28,22,5,64,3747
28,33,5,64,3747
28,30,1,64,3747
28,40,4,64,3747
28,49,2,64,3747
28,7,3,64,3747
28,19,2,64,3747
28,38,1,64,3747
28,11,3,64,3747
28,50,2,64,3747
28,1,5,64,3747
28,28,3,64,3747
28,4,1,64,3747
28,17,4,64,3747
28,10,4,64,3747
28,8,2,64,3747
28,46,5,64,3747
28,42,5,64,3747
29,29,1,48,3896
29,50,4,48,3896
29,37,2,48,3896
29,3,3,48,3896
29,31,1,48,3896
29,28,4,48,3896
30,20,2,28,1358
30,50,4,28,1358
30,25,1,28,1358
30,18,4,28,1358
30,2,3,28,1358
30,32,2,28,1358
30,27,4,28,1358
30,21,5,28,1358
30,16,4,28,1358
30,47,3,28,1358
30,28,3,28,1358
30,42,3,28,1358
30,41,2,28,1358
30,49,4,28,1358
30,12,1,28,1358
30,26,4,28,1358
30,3,5,28,1358
31,4,2,24,50
31,29,3,24,50
31,28,4,24,50
31,13,2,24,50
31,27,1,24,50
31,8,2,24,50
31,33,2,24,50
31,26,3,24,50
31,34,4,24,50
31,44,2,24,50
32,43,3,19,2241
32,41,1,19,2241
32,35,4,19,2241
32,10,1,19,2241
32,12,1,19,2241
32,6,3,19,2241
32,24,2,19,2241
32,28,5,19,2241
32,18,3,19,2241
32,17,5,19,2241
32,49,1,19,2241
32,30,1,19,2241
32,48,1,19,2241
32,33,5,19,2241
32,20,5,19,2241
32,34,5,19,2241
32,29,5,19,2241
32,42,4,19,2241
32,45,2,19,2241
33,5,2,32,146
33,3,3,32,146
33,20,5,32,146
33,16,3,32,146
33,48,2,32,146
33,4,1,32,146
33,27,2,32,146
33,50,4,32,146
33,25,4,32,146
33,10,4,32,146
33,12,1,32,146
34,4,1,58,3342
34,49,1,58,3342
34,30,2,58,3342
34,44,1,58,3342
34,20,1,58,3342
34,32,4,58,3342
34,45,2,58,3342
34,34,3,58,3342
35,18,4,19,4309
35,38,2,19,4309
35,37,5,19,4309
35,32,4,19,4309
35,10,2,19,4309
35,45,4,19,4309
35,39,3,19,4309
35,40,5,19,4309
35,47,3,19,4309
35,7,2,19,4309
35,48,4,19,4309
35,24,3,19,4309
36,6,2,42,4899
36,43,2,42,4899
36,38,2,42,4899
36,46,2,42,4899
36,3,1,42,4899
36,45,4,42,4899
36,40,1,42,4899
36,42,5,42,4899
37,42,4,43,1615
37,14,3,43,1615
37,40,3,43,1615
37,24,4,43,1615
37,5,2,43,1615
38,35,2,39,4575
38,20,1,39,4575
38,26,3,39,4575
38,11,5,39,4575
38,10,3,39,4575
38,14,1,39,4575
38,38,5,39,4575
38,8,4,39,4575
38,33,3,39,4575
38,13,3,39,4575
38,39,4,39,4575
38,47,4,39,4575
38,6,3,39,4575
38,7,4,39,4575
38,46,3,39,4575
38,28,3,39,4575
38,34,3,39,4575
38,4,2,39,4575
39,38,3,29,2201
39,33,1,29,2201
39,31,3,29,2201
39,49,2,29,2201
39,18,5,29,2201
39,48,5,29,2201
39,26,4,29,2201
40,38,4,63,2312
40,19,3,63,2312
40,24,1,63,2312
40,50,4,63,2312
40,33,4,63,2312
40,17,5,63,2312
40,18,1,63,2312
40,7,1,63,2312
40,6,5,63,2312
40,37,4,63,2312
40,27,1,63,2312
40,32,2,63,2312
40,29,3,63,2312
40,2,2,63,2312
41,48,1,21,1087
41,37,5,21,1087
41,17,2,21,1087
41,12,1,21,1087
41,21,3,21,1087
41,5,2,21,1087
41,9,4,21,1087
42,44,2,55,252
42,25,3,55,252
42,49,5,55,252
42,13,4,55,252
42,8,3,55,252
43,29,1,54,1877
43,42,1,54,1877
43,11,1,54,1877
43,27,1,54,1877
43,31,2,54,1877
43,37,3,54,1877
43,19,5,54,1877
43,44,2,54,1877
43,43,5,54,1877
43,17,5,54,1877
43,32,1,54,1877
43,47,4,54,1877
43,30,5,54,1877
43,28,3,54,1877
44,4,3,54,4938
44,26,1,54,4938
44,14,5,54,4938
44,48,2,54,4938
44,9,2,54,4938
44,32,3,54,4938
44,6,5,54,4938
44,39,3,54,4938
44,47,4,54,4938
44,42,3,54,4938
44,20,3,54,4938
44,44,4,54,4938
44,29,4,54,4938
44,15,5,54,4938
45,28,2,51,666
45,18,4,51,666
45,20,1,51,666
45,7,4,51,666
45,30,1,51,666
45,13,5,51,666
45,37,1,51,666
45,15,2,51,666
45,27,3,51,666
45,12,3,51,666
45,2,5,51,666
45,11,3,51,666
45,5,4,51,666
45,17,3,51,666
45,3,1,51,666
45,1,5,51,666
45,45,2,51,666
45,35,2,51,666
45,39,2,51,666
46,4,4,20,2286
46,35,1,20,2286
46,39,1,20,2286
46,14,3,20,2286
46,36,2,20,2286
46,25,5,20,2286
46,24,3,20,2286
46,16,2,20,2286
46,42,2,20,2286
46,37,5,20,2286
46,44,5,20,2286
46,46,2,20,2286
46,19,2,20,2286
46,18,3,20,2286
46,34,5,20,2286
46,13,4,20,2286
46,2,3,20,2286
46,1,4,20,2286
46,17,2,20,2286
46,9,3,20,2286
47,4,5,24,422
47,48,5,24,422
47,26,5,24,422
47,42,4,24,422
47,32,1,24,422
47,19,4,24,422
47,31,4,24,422
47,28,2,24,422
48,43,5,38,3662
48,3,4,38,3662
48,14,1,38,3662
48,2,1,38,3662
48,23,3,38,3662
48,15,3,38,3662
48,33,1,38,3662
48,22,4,38,3662
48,25,4,38,3662
48,8,1,38,3662
48,1,4,38,3662
49,7,2,20,3868
49,29,3,20,3868
49,15,3,20,3868
49,18,4,20,3868
49,42,3,20,3868
49,45,4,20,3868
49,28,4,20,3868
49,16,5,20,3868
49,30,1,20,3868
49,43,4,20,3868
49,6,3,20,3868
49,4,1,20,3868
49,2,5,20,3868
49,11,1,20,3868
49,21,1,20,3868
49,13,4,20,3868
49,39,3,20,3868
50,10,4,26,4705
50,27,3,26,4705
50,36,5,26,4705
50,8,1,26,4705
50,6,1,26,4705
50,3,2,26,4705
50,25,3,26,4705
50,33,5,26,4705
50,16,5,26,4705
51,22,1,58,3487
51,45,3,58,3487
51,13,1,58,3487
51,8,1,58,3487
51,43,2,58,3487
51,6,1,58,3487
51,32,5,58,3487
51,33,5,58,3487
51,31,5,58,3487
51,2,5,58,3487
51,20,1,58,3487
51,34,2,58,3487
51,17,4,58,3487
51,9,4,58,3487
51,16,4,58,3487
51,30,5,58,3487
51,29,1,58,3487
51,46,1,58,3487
51,14,2,58,3487
51,35,5,58,3487
52,3,5,54,1110
52,33,4,54,1110
52,9,3,54,1110
52,10,5,54,1110
52,38,3,54,1110
52,19,5,54,1110
52,2,1,54,1110
52,6,2,54,1110
52,21,4,54,1110
52,41,2,54,1110
52,16,1,54,1110
52,34,3,54,1110
52,40,2,54,1110
52,4,1,54,1110
52,26,3,54,1110
53,20,1,26,284
53,37,5,26,284
53,49,5,26,284
53,17,2,26,284
53,33,4,26,284
53,30,4,26,284
53,42,2,26,284
53,14,2,26,284
54,45,5,59,2466
54,9,3,59,2466
54,15,4,59,2466
54,25,1,59,2466
54,6,2,59,2466
54,50,5,59,2466
54,27,2,59,2466
54,2,1,59,2466
54,11,3,59,2466
54,21,2,59,2466
54,33,4,59,2466
54,7,2,59,2466
55,11,5,24,3682
55,34,5,24,3682
55,20,2,24,3682
55,3,4,24,3682
55,26,1,24,3682
55,29,2,24,3682
56,49,1,21,95
56,21,4,21,95
56,1,2,21,95
56,50,3,21,95
56,16,4,21,95
56,19,3,21,95
56,33,3,21,95
57,1,1,19,4833
57,36,4,19,4833
57,14,5,19,4833
57,39,5,19,4833
57,34,2,19,4833
57,19,4,19,4833
58,37,1,57,2101
58,30,3,57,2101
58,5,3,57,2101
58,23,2,57,2101
58,7,5,57,2101
58,2,3,57,2101
58,33,3,57,2101
58,15,2,57,2101
58,29,1,57,2101
58,45,4,57,2101
59,40,4,59,3328
59,39,3,59,3328
59,33,3,59,3328
59,42,3,59,3328
59,1,3,59,3328
59,9,5,59,3328
59,45,1,59,3328
59,21,5,59,3328
59,47,5,59,3328
59,8,5,59,3328
59,7,1,59,3328
59,30,3,59,3328
59,41,2,59,3328
59,49,2,59,3328
59,10,3,59,3328
59,32,5,59,3328
59,34,4,59,3328
59,22,1,59,3328
60,5,3,31,712
60,3,5,31,712
60,38,3,31,712
60,12,3,31,712
60,1,1,31,712
60,42,5,31,712
60,39,4,31,712
60,10,4,31,712
61,35,3,34,3927
61,50,1,34,3927
61,1,2,34,3927
61,14,5,34,3927
61,2,3,34,3927
61,18,5,34,3927
62,42,2,55,1909
62,48,2,55,1909
62,25,4,55,1909
62,41,3,55,1909
62,46,5,55,1909
62,18,3,55,1909
62,17,4,55,1909
62,15,5,55,1909
62,29,4,55,1909
62,47,2,55,1909
62,27,4,55,1909
62,45,5,55,1909
62,36,2,55,1909
62,12,4,55,1909
62,19,2,55,1909
62,31,5,55,1909
62,3,3,55,1909
62,50,3,55,1909
62,13,4,55,1909
62,35,1,55,1909
63,41,3,33,4348
63,50,2,33,4348
63,14,3,33,4348
63,4,1,33,4348
63,25,3,33,4348
63,27,5,33,4348
63,10,4,33,4348
63,45,2,33,4348
63,39,4,33,4348
63,19,4,33,4348
63,33,1,33,4348
63,36,3,33,4348
63,24,4,33,4348
63,9,5,33,4348
63,48,4,33,4348
63,43,2,33,4348
63,23,2,33,4348
63,31,4,33,4348
63,20,5,33,4348
63,16,1,33,4348
64,14,3,25,3137
64,46,1,25,3137
64,9,3,25,3137
